tag /tæg/ n.附加语;标签
tin /tin/ n.锡;罐头
tip /tip/ vt.轻击vi.给小费
tire /‘taiə/ vi.疲劳，累;厌倦
tissue /‘tisju:/ n.薄绢;薄纸;组织
toast /təust/ n.烤面包vt.烘，烤
toast /təust/ n.祝酒;祝酒词
toe /təu/ n.脚趾，足尖
tɔilet /‘tɔilit/ n.厕所，盥洗室，浴室
tolerance /‘tɔlərəns/ n.忍受，容忍;公差
tolerate /‘tɔləreit/ vt.忍受，容忍，宽恕
tone /təun/ n.音;腔调;声调
torch /tɔ:tʃ/ n.火炬，火把;手电筒
torture /‘tɔ:tʃə/ n.拷问;折磨vt.拷打
total /‘təutl/ a.总的vi.合计，总共
touch /tΛtʃ/ vt.触摸;触动;感动n.触
tough /tΛf/ a.坚韧的;健壮的
tour /tuə/ n.&vi.旅行，游历
tourist /‘tuərist/ n.旅游者，观光者
towel /‘tauəl/ n.毛巾，手巾
tower /‘tauə/ n.塔vi.屹立，高耸
trace /treis/ n.痕迹;丝毫vt.跟踪
track /træk/ n.行踪;路径;轨道
tractor /‘træktə/ n.拖拉机;牵引车
trade /treid/ n.贸易;职业vi.交易
traffic /‘træfik/ n.交通，通行;交通量
tragedy /‘trædʒidi/ n.悲剧;惨事，惨案
trail /treil/ n.痕迹;小径vt.跟踪
transfer /træns’fə:/ vt.转移;调动vi.转移
transform /træns’fɔ:m/ vt.改变;改造;变换
transformation /trænsfə’meiʃən/n.变化;改造;转变transformer/træns’fɔ:mə/ n.变压器，转换器
transistor /træn’sistə/ n.晶体管
transmission /trænz’miʃən/ n.传送;传动;发射
transmit /trænz’mit/ vt.传送，传达;发射
transparent /træns’peərənt/ a.透明的;易识破的
transport /træns’pɔ:t/ vt.运输n.运输
transportation /trænspɔ:’teiʃən/ n.运输，运送，客运
trap /træp/ n.陷阱;诡计vt.诱骗
tray /trei/ n.(浅)盘，托盘，碟
treasure /‘treʒə/ n.财富;珍宝vt.珍视
treat /tri:t/ vt.对待;处理n.款待
treatment /‘tri:tmənt/ n.待遇;治疗，疗法
treaty /‘tri:ti/ n.条约;协议，协定
tremble /‘trembl/ vi.发抖，哆嗦;摇动
tremendous /tri’mendəs/ a.极大的，非常的
trend /trend/ vi.伸向;倾向n.倾向
trial /‘traiəl/ n.试，试验;审判
triangle /‘traiængl/ n.三角(形)
trick /trik/ n.诡计;窍门vt.哄骗
trim /trim/ a.整齐的vt.使整齐
triumph /‘traiəmf/ n.凯旋;胜利vi.成功
troop /tru:p/ n.军队;一群，大量
tropical /‘trɔpikəl/ a.热带的
troublesome /‘trΛblsəm/ a.令人烦恼的;麻烦的
trumpet /‘trΛmpit/ n.喇叭，小号
trunk /trΛŋk/ n.树干;大衣箱，皮箱
trust /trΛst/ n.信任vt.相信;委托
truth /tru:θ/ n.真理;真实;真实性
tube /tju:b/ n.管;电子管，显像管
tune /tju:n/ n.调子;和谐vt.调谐
tunnel /‘tΛnl/ n.隧道，坑道，地道
turbine /‘tə:bin/ n.叶轮机，汽轮机
twin /twin/ a.孪生的n.孪生儿
twist /twist/ vt.捻;拧vi.&n.扭弯
type /taip/ n.型，类型vi.打字
typewriter /‘taipraitə/ n.打字机
typical /‘tipikəl/ a.典型的，代表性的
typist /‘taipist/ n.打字员
tyre /‘taiə/ n.轮胎，车胎
